date,timestamp,price,price_change_pct,asset
2025-02-14 00:00:00,1739491200000,2773.733346721274,,kelp-dao-restaked-eth
2025-02-15 00:00:00,1739577600000,2821.6628014633966,1.7279762958749556,kelp-dao-restaked-eth
2025-02-16 00:00:00,1739664000000,2791.8945868446726,-1.0549883778914082,kelp-dao-restaked-eth
2025-02-17 00:00:00,1739750400000,2758.5553406921654,-1.194144159654198,kelp-dao-restaked-eth
2025-02-18 00:00:00,1739836800000,2845.7983653913607,3.162634564993172,kelp-dao-restaked-eth
2025-02-19 00:00:00,1739923200000,2766.421017973501,-2.7892822057666633,kelp-dao-restaked-eth
2025-02-20 00:00:00,1740009600000,2816.687311199834,1.817015302434144,kelp-dao-restaked-eth
2025-02-21 00:00:00,1740096000000,2844.4994015218467,0.9874042536218042,kelp-dao-restaked-eth
2025-02-22 00:00:00,1740182400000,2756.9353622538347,-3.0783637789188467,kelp-dao-restaked-eth
2025-02-23 00:00:00,1740268800000,2867.807333571845,4.021565860266341,kelp-dao-restaked-eth
2025-02-24 00:00:00,1740355200000,2928.6627129759067,2.122017706408008,kelp-dao-restaked-eth
2025-02-25 00:00:00,1740441600000,2602.004562961323,-11.15383306405593,kelp-dao-restaked-eth
2025-02-26 00:00:00,1740528000000,2589.573233472076,-0.4777597113472698,kelp-dao-restaked-eth
2025-02-27 00:00:00,1740614400000,2414.472813665223,-6.761748134540301,kelp-dao-restaked-eth
2025-02-28 00:00:00,1740700800000,2387.225935602321,-1.1284814601635773,kelp-dao-restaked-eth
2025-03-01 00:00:00,1740787200000,2319.044519654354,-2.856093967945428,kelp-dao-restaked-eth
2025-03-02 00:00:00,1740873600000,2293.0732992118965,-1.1199103864693694,kelp-dao-restaked-eth
2025-03-03 00:00:00,1740960000000,2608.271752112175,13.745677166473858,kelp-dao-restaked-eth
2025-03-04 00:00:00,1741046400000,2230.6144579255865,-14.47921574432427,kelp-dao-restaked-eth
2025-03-05 00:00:00,1741132800000,2252.0588959624965,0.9613690954398679,kelp-dao-restaked-eth
2025-03-06 00:00:00,1741219200000,2326.068613174145,3.2863135748506966,kelp-dao-restaked-eth
